address,value
0x98dc45a0a69a60e63f7a042507ab38e4d492cd69,2
0xb7187511a0a0f5a63a538b7bc0abdd1a01979848,2
0x40a605c69cfc12a5f164188a1e2b5cffe3f381ed,2
0x0150b0ec3c7b72879fbfdbdd79c18a8368b194e0,2
0x6c40798acaec7502c3d276cfb4e79423571a5b0a,2
0x5b33b6f41e87111b7d22685b297f086b5535034d,2
0xf1e1c701b49b1dc2405a9e8ef40f9f88802b80fa,2
0x6d8dec3fd68d94a7189a98346ea52b4d32e00012,2
0x862464bbd83d5743f9cf873c6ea3d187d0f909bf,2
0x903395c9e6fd4f94fbd706c85d397a5df219efa2,2
0xcfc9336910420e2fb7b9c19f62a38bbac34dc352,2
0x92c70f31efa47bd08b65f36079fba5668f3050c4,2
0x7b5af6790381f932abae790e8b0d0ff50e287f8e,2
0x75b772f2bb4f47fbb31b14d6e034b81cb0a03730,2
0x3f358b4e54385ba4fc8dd9ea718d360db5c7fda5,2
0xdd0fb2cc4b9f81a479e1d6ee9ca930c6cd058ecd,2
0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459,2
0x690dabe81caf23ff4f855d27785d01da66ede8ca,2
0xcadc7fcfd1c12da24be866d30be91b44cbff3914,2
0xf3846ec842c2490d6289858e28038cfbec660689,2
0xa5dce742f3775059d9406342d2ecbb0ff8e3a3c2,2
0x98cba78ba705efaa9c9d9015b5c95ba1e2c3b2cd,2
0x177a8340bddc2041cc362aabf543dee4e394e3e3,2
0x6ef8fd2ffd39df9e73eea701e17db9cf51ffbb7e,2
0x2a42cf4e1cfc33850fd8d8da24f86cd89b82ad95,2
0x75535cf8f96096d3e5a0121dd5831dcaff8af785,2
0xab4273e7137f9531fcb47d558d9bab0e726e6937,2
0x2733cbe186440511cd0aeef6dd37a67dac40899c,2
0xa86d8add58edf1e77a20c6edea06de34465ec98e,2
0xc839de0fed241607d50aa4107ae582443b906e4c,2
0xa431d9ae84cce1c1c6d28f8258b5b95bab930210,2
0x313c8673ff69dfd7be2a46bc540305d3e2d233b0,2
0xcdb2961d0e2dab84d12b41d17b1ba7879201b6ea,2
0x14977b0dbe7e155f9907effecbb70c9b7a05e737,2
0x4220132c9df1ab7bd2913f0fd03297c90e7cc6fe,2
0x692d6cf19e0c082185e20ff5ea6bb267e7aeb278,2
0xc97958ff5370c56b7e0e6fb58437f00702714d49,2
0x8a0c391ed12dfbb23d4a926a7c7353dcfcca8a47,2
0xb05b7ea3714a95857e45629def2b9c3577690208,2
0xc78cd2e1e8ad4a288eddafb139c9d0891ad01ae7,2
0x300db63d96b5b5061560e4f1ba7a04277ba14917,2
