address,value
0x8f8b4759dc93ca55bd6997df719f20f581f10f5c,2
0xf5c9752e5a02ff9dcc04421de916a19d4c62f8d8,2
0xa7a3a06e9a649939f60be309831b5e0ea6cc2513,2
0xaec3f7e735505c2b787b05d67f4adaefe3dfd678,2
0x9eb7e6cd494a25a0eeb8a28b7d7773b29977a3d6,2
0x7d08c340fcfe051c462dcfda8b9ed47642b96b10,2
0xf829a4e55a73e7015b0425a952c06d0a886a744b,2
0x233cb1da57342a254bd8827dee771ca376dd0958,2
0x8bbc693d042cea740e4ff01d7e0efb36110c36bf,2
0xcf04c33bfea64cf5dd6ea97e2d5620f825b03b49,2
0x2d1543711bd262108fd8a1afb43d8871f76c134c,2
0x44f301b1de6c3fec0f8a8aea53311f5cca499904,2
0x74c6c21b105130a3305d7973406968ad8d220100,2
0x4a001ceaf98781380c603c981c3fe56ee6dd4fb0,2
0x56befbe80008cec71897675b412c2ec746a5f63e,2
0xdad1a8c0005c901fbc002dbedd7463a562fb2466,2
0x87da297a832706b5115ee1feb47b7fdb7c476261,2
0x8813b06dac568f4672190f0bd22832cfaf65c3eb,2
0x69cda809c40bbae9c16517d2d620a88f7c0c0336,2
0xa513f40ba07832d48c3c60e9f89b9208c5ce19f0,2
0x4a6eacd00e3a586550bb3b52731d51ce7f53f490,2
0x618d17fa59c67aea20a88dc75d4e28e728a6ff28,2
0x8215643e5757d44940586aa670c932bd703034f3,2
0xa3d262f6dAdb9949887b171861B8D8b6115F5Cb5,2
0x57cbe501092e36e87692d89ce4e75f98aa45feb2,2
0xb5c626461b1c53fb3b0956c39e2a0c3d04e7d16f,2
0x641f4c56d17988bb9ad657c6961baca41dcf5223,2
0xed83f0bceef992fa58c8bc8a27269eedb3574922,2
0x75e3327c52514d0164a1999975ab3e177ca162fe,2
0x65fe6eb6de261d83eb38e837b534646702b450a8,2
0x6a6d335d1ca6c4539b7cee6476b706685f97bc78,2
0x968e708d939feb55d914e233cf1097f4adbcd5e4,2
0xd61bee56435dc7eeca895bae90fc8b9c7fe709eb,2
0xf80f445c27b56426b0a716d5edc3e86cca276579,2
0x567b71b80fe93afe1db3581e6faf5f00fd483885,2
0xfa217e15832061601431a2a365f65393a74dbd4d,2
0xcc97dc4b6488ca9731c98e1bd5656599b08bac91,2
0xcefe1fe27e77de43cc62d8d8421302ff3e055b2c,2
0xfe0174255e410defaaf58b06e009e0ebcd74db59,2
0x55644d7230944b8290555e720094ef7ed15f484c,2
0x27458760bf383bd2fa9957ae8aa95e9fd5236654,2
0x513e0a472522e4bd8023c032bbf01e7fb1fe0df3,2
0x547e56e9b748ba28d4ddd354da89521f9f80eeb5,2
0x145e9e42fbf7dceed2dcfab59c3312b9a2aa164f,2
0x7dd758d5b7e10bd45cef5b2bc79d17bf45192e10,2
0x93316235ca4d1227ca3cc51de928aba21fc809b8,2
0x370ceca4fc1287ed99924bba76259f6c771a6022,2
0x0b6eae3681cc726f6d8ad39c38d7fb89018e1c26,2
0x2279f5b913aade070fc2f499a6c8f83bae8879bd,2
0x5af84f1318241b4224ecfc9e6d4e97a3118cd38f,2
0x3783c56c35963d83742d1fe3eab546f61d0eb9c7,2
0x0a5b7c226ee4c3510a6f567a5e081971a0f79a90,2
0x6b6d5c57533d22d0de14db59fcd28b9ea5296090,2
0x2135589bdf50c0226393c48514612145e2d3bedf,2
0x6a17d3dd92a8d8fdf8a1f27c36a9e046121fc69c,2
0xbb0af8fb13473b81c2b6fe1503a0f70207231717,2
0x7615ceec338bc6bb94bc73e5f8e534b8157c653d,2
0xc9989b1045ffbea79a5205ba48065062a0c9e411,2
0x23787626349cc170bfc512e5b5e3d3f44e00d02d,2
0x2fef1be7243093c6164b7b9a87ae388f60c249b3,2
0x6d8dec3fd68d94a7189a98346ea52b4d32e00012,2
0xb7546d1b04151e1e96d38275af66eaf984fdad2a,2
0x1cb4831b6df1d9cb07279b93a0e101db9b2295d0,2
0x44541f6d90db9b2469ebc8e553ea269eee3c4d10,2
0x48488c36c8643f6eeb13f6bcd5be8612918c6590,2
0x7aefd0856861060603fce2910a95d576f6f9fbe0,2
0xee05f658e18eb04d250f829b1920c2fbf6907e27,2
0xfbbeac42ced6dd1f9aa36a55acef75fef997102d,2
0x09e6267d0cb691fe647da5029d28ab0fd62d9325,2
0x1b885e57a1ff7c7c38aeba3a9096d6fff6077221,2
0x29f1c3b3126c31b5232f1df4bb7825fc8f8d58af,2
0xe525034d34e4bd525b7636b551b6c573432d8df3,2
0x4756e5a5d0668195feb1ec0e7f96832ffc51c4a8,2
0x1c03412dcbbbff340c20f00d5a4c7f6005e980df,2
0x841d0ca751d05fca8e5b82220033adac98dbf6a5,2
0xf940ee79a4eae498b3f45a0c9354ec05e4af1d39,2
0x8ea6a8de40043b5e8085704d450849f99b816976,2
0x026514e83e2baa6f13fe897994d762499c971e4a,2
0x78927bf8a6af8dfe23ad17fde5abc1c9b9c93946,2
0x75f331fda7b8fa1fcba2bdd4197dfdfcb8632c7a,2
0x86b310aaaac3704454bc23d9bc6df2cc6178c89d,2
0xf3d7187fec14d1cc2b10ca84916b7d86541af846,2
0x248388148ad1fdd1d4f97f7bf79ec271f4a621d1,2
0x33cf9259c18d24971fe09aa19790c3418c3a12eb,2
0xf4cdfea7fdf85872141e4f8eb0e953427de7626f,2
0xd1be82e7fe8c23d2a335558860e844e327863e3e,2
0x26b7dbcf563bcb1505ab60c6948c2c73f20ead91,2
0x13a191490d25169d24afac6a3bf85ff5010096c9,2
0xc68bb9728103765ace6d43d98bce3281af3850cb,2
0xf84408070b4de16d6bb0ab2fd8b19d37e3fd1422,2
0xe7811da743bb6cce0c49e1d362b2e9120360a373,2
0xf266bd362edec2656ff30d797206d1ca608178d1,2
0x247e0c58c66235a2599e736a24f3ce0b5c651ed0,2
0x6ecae358e99dfdd1abe900bebe5f775431c12324,2
0x8f67e1e19da5ecb7fb73e3d04bc30f4ad27e3fff,2
0x9316b3aa669110219672b45ffdd6739b55e6b51a,2
0xd1386560f0fa070b6b79e9968e8197cf17f3b8ae,2
0xabf04838ffcf99e991b7e0df92d9dc7ebd40113b,2
0x20fcda3d9023866063ed8e4e13e84eb145cd5bcb,2
0x08a0f178506f3007263464fc68822365f6dff3a2,2
0xce56a746edaf84e65aa6a2bbb45b2328f6a99935,2
0x84Dc3616B69fD743FB54c139d81Fad88D6c03dE9,2
0x5e222e726636613c40a87412b9ee04ff53c536e5,2
0x94de7e2c73529ebf3206aa3459e699fbcdfcd49b,2
0x70902fb3fb60f83c6445daade3eed90ed4d8c012,2
0x3addc2ce68d7f94af141a3bbcb86aaca1ec4494f,2
0x167e05781fc728a22155019293fce4df335e782a,2
0xad5bd06f5fb4633888ac7506ec0c87eb99998653,2
0xbb315ba16c951cdccbab7be11b935387d82d98cc,2
0x1d28eae55921ee4783c2c952f7188557abb33328,2
0x1884ef1ad5254c3fe32fa0c0395eb4fa7316c8a5,2
0xa6b880ad5e007ce8bc681ca974d79ce58fa0424a,2
0xf4d176848a02eb80b507e5301e6338accbda4900,2
0x2e0b873d26f6d90f347757ed0d041bc65e02a89f,2
0x820ca1160d59bea6b22ce781e8a4ca2a64471ed9,2
0xb18fd1c3505f1305df7881ae353429796e6c5c7f,2
0xf7c88b74bf56555482c1a417e7dc9dab64cf0c83,2
0xbe2aaec782c989aa11f87a66c9fabb913efb24e0,2
0xa81725fae8bb3930a95debb0adeaa184b5e9cc10,2
0x514afe6575b5d81cecaa86a6bddf28de2f89ba45,2
0xc842ce7214a14fa98186a010bcb43c7e99e4caf3,2
0xfade41403a1eee72d805c42f1eaf5f53a54d0e0d,2
