address,value
0xC839de0fEd241607d50aa4107aE582443B906e4c,10
0x005B40Bc7E2a68Dde6e97604Dd99e795A033F614,5
0x128ad42b82C752C5b4C7f679231d8956c98038Eb,1
0xB735AF7ae1a77D1EC764C862C2C09bdBf2B34B27,1
0x3DF7131fBd4f6b27Be8317C69E41817498E1BC0C,1
0xfD22004806A6846EA67ad883356be810F0428793,1
0x6ef8Fd2fFd39DF9E73eea701E17DB9cF51FFbB7e,1
0xd4012980Ef607F79b839095781a31Cb2595461cF,1
0x71a7702Ff3d858A0853A918FB44c537740A8BdE9,1
0x5FfD8de19910EFff95Df729C54699aebCEe8f747,1
0x92C70F31EFA47bD08b65f36079fBA5668f3050C4,1
0xf3290df945E484A4Ff846fB5bAeb6D1147a7aa69,1
0x18aB104b9B143aaff5111234Ebda33d0DC4E401F,1
0x5dF5078AE2e65F05874e57929cA50e0AC689b378,1
0x4076EcA4Db9684Fa1D9bfAc231CB516889A33E5A,1
0xCd241563F7288b5eb2b9B715F736232889B62d8b,1
0x49BC851b355479d1241d86607457FeeB9026826F,1
0x8EE376DE530fB9a734DF676e7E4342B48355F483,1
0xCc47fCBfdd6e558fB39CF5Ef4d92e59890476b86,1
0x7bC7481751d7Fcb76d08f596B03Ba1e42378ea27,1
0x9F6ae0370d74f0e591C64cec4a8AE0d627817014,1
0x00ACf1f79Ff43b1FF5b4ff28b537CBf27445869f,1
0x862464BbD83d5743F9Cf873C6eA3d187D0f909BF,1
0x8215643e5757d44940586aa670c932bd703034f3,1
0x5663d7d0751db1a80f01d6974e02036b6d44d56a,1
0x0022252b11a1c7a688c3e6281873e0111d63c270,1
0x2a0a412e0a0d436cca7ddba177c4dd9f29801062,1
0xc457fee0564bf3eb972114762f62ab45c0e3590b,1
0x2d2adcd04aeb3b41fdb836dd7a644c3cd372bde6,1
0xeb697a943f4edc306de51ac5fce1366a30496e2f,1
0xdffd6968900b3f4f667b69c5f9df65d9d7796a1c,1
0xef15bd3f923245b24d64d6fbf57f036fe650c23a,1
0xea39c551834d07ee2ee87f1ceff843c308e089af,1
0x8668681d2017c2322d7ba37070a8ea223ef3729c,1
0x1acb5e5c169aed4b9f963bdf786a8377bff678a1,1
0x54669ca58bf3a59caea8ae5135db491e4738f65a,1
0xb6037b6feb9406942649885959346755b3ad04c8,1
0x8889ebb11295f456541901f50bcb5f382047caac,1
0xfd22004806a6846ea67ad883356be810f0428793,1
0x7bb3fad216678a47caeed210123fc9e9e263030e,1
0x8be5a2df6488b0937299d27f092716f4a9ab2fd8,1
0x2a42cf4e1cfc33850fd8d8da24f86cd89b82ad95,1
0x569ff93aec513dac5b818714268c4b1e49abcc40,1
0xbf270918afe2ad16093ddce904fc358ad337cefa,1
0x9446ca49d384f18657bd41060bf6cae024f16fc3,1
0x99f230a1a61044cf092d0c9cdea53b36f6a18904,1
0xc97cfd2c3a3e61316e931b784bde21e61ce15b82,1
0xaef0f7d5e749bc7dd4303ff5990d1190a3e33969,1
0x8e22df65a6cebf6709e1ca7f44c544a1c2fb5bad,1
0x506c23d8882b3768f7b410c3fb2d525b1d7cc466,1
0xf42dee9230dade4c244b8d72a5f1eb2cb91f242a,1
0x0ce98350b9dea81fe0b47dbc4787a1e9f8f1d7ff,1
0x7024ee7932e4d879409f9618b560cc82cf093a7a,1
0x9fca5cb296333aa780d3367951f766ab3d7d4098,1
0x0d083590c048a243e24a75e3a7c968145de25b44,1
0x9387f71f3928ebe9ce8b3d8cf37a8fb52739ae7d,1
0x5feadf8ef647da7f07584b3d33fcd565b79359a4,1
0x50d086175cc14fa5ae008591d72a93cf22b48e32,1
0x95722d15041f50fe9135962cc87042b4d6dab382,1
0xc939a858b2bddd81d8b616e14c901a2aa06b3235,1
0x9ad5a46017ea55bf885cd34969c58d05d6925a5c,1
0xe8c9333d6ba367ebd7ed1afd83088b5b5ea15d84,1
0x7b5af6790381f932abae790e8b0d0ff50e287f8e,1
0xaa1e92ddd28c835fe66689771d35f38947950fd4,1
0x72b3bae18443b527e170c8a0962fda643cc6b809,1
0x50a9f0f42ecde1df805b1ba6e885881accef049e,1
0x6d5d4fb55c61019c5eb9236c3da58c774b8232d1,1
0x09b2f0988b6d24336b348c84c2764d2b4f85142f,1
0x29059f184faa0a32c83971c8951829c8be27d3f3,1
0xc839de0fed241607d50aa4107ae582443b906e4c,1
0xc6400a5584db71e41b0e5dfbdc769b54b91256cd,1
0xac6e4334a82b8434b0122bc3c9b42d0a5f190d4a,1
