address,value
0xf83fc0d27d92233e789e4d13d452d72404be6fe3,10
0x005B40Bc7E2a68Dde6e97604Dd99e795A033F614,5
0x128ad42b82C752C5b4C7f679231d8956c98038Eb,1
0xB735AF7ae1a77D1EC764C862C2C09bdBf2B34B27,1
0x3DF7131fBd4f6b27Be8317C69E41817498E1BC0C,1
0xfD22004806A6846EA67ad883356be810F0428793,1
0x7bb3fad216678a47caeed210123fc9e9e263030e,1
0x8be5a2df6488b0937299d27f092716f4a9ab2fd8,1
0x2a42cf4e1cfc33850fd8d8da24f86cd89b82ad95,1
0xbf270918afe2ad16093ddce904fc358ad337cefa,1
0xbdc4a5c0ff7275736cad102c7408555fb5d6c495,1
0x99f230a1a61044cf092d0c9cdea53b36f6a18904,1
0x9446ca49d384f18657bd41060bf6cae024f16fc3,1
0xc97cfd2c3a3e61316e931b784bde21e61ce15b82,1
0x569ff93aec513dac5b818714268c4b1e49abcc40,1
0x7024ee7932e4d879409f9618b560cc82cf093a7a,1
0xf42dee9230dade4c244b8d72a5f1eb2cb91f242a,1
0x0d083590c048a243e24a75e3a7c968145de25b44,1
0x9fca5cb296333aa780d3367951f766ab3d7d4098,1
0x506c23d8882b3768f7b410c3fb2d525b1d7cc466,1
0x8e22df65a6cebf6709e1ca7f44c544a1c2fb5bad,1
0x0ce98350b9dea81fe0b47dbc4787a1e9f8f1d7ff,1
0x5feadf8ef647da7f07584b3d33fcd565b79359a4,1
0x95722d15041f50fe9135962cc87042b4d6dab382,1
0xe8c9333d6ba367ebd7ed1afd83088b5b5ea15d84,1
0x9387f71f3928ebe9ce8b3d8cf37a8fb52739ae7d,1
0xc939a858b2bddd81d8b616e14c901a2aa06b3235,1
0x50d086175cc14fa5ae008591d72a93cf22b48e32,1
0x09b2f0988b6d24336b348c84c2764d2b4f85142f,1
0x50a9f0f42ecde1df805b1ba6e885881accef049e,1
0x6d5d4fb55c61019c5eb9236c3da58c774b8232d1,1
0x29059f184faa0a32c83971c8951829c8be27d3f3,1
0x72b3bae18443b527e170c8a0962fda643cc6b809,1
0x50839a4b28af1e66596345d1ced0dfe45b863608,1
0xa309e257db5c325e4b83510fcc950449447e6bda,1
0xc2e8ed8cc0be70f91fc9aa903d5f4538719d7dec,1
0x13eee41d67b8d99e11174161d72cf8ccd194458c,1
0x7bb09046c5835b3e7ee83c3fddb51b0ac51bae7c,1
0x467a1b053c034aef04c3887feed9a411f784bfe8,1
0x5f312df04b19979ef4bd5876737cfa481a928c0d,1
0xaa1e92ddd28c835fe66689771d35f38947950fd4,1
0xc7d2d152dda8cf7a7860288c3db9a1a4ce29162b,1
0xa6f4fa9840aa6825446c820af6d5eccf9f78ba05,1
0x289089cee85200e9e07d09bc266aa58a3266bf1e,1
0xc457fee0564bf3eb972114762f62ab45c0e3590b,1
0xa1cecd5e4f6683189c3d4f832a16600c20e5b42a,1
0xead79e5cead9f5c1df0090f393ce36ca000a7f74,1
0xd2d230d2390fad7ade4d7baed64606f3b12306ae,1
0x7812b14d379cd0aae7e855231844866dbc30d230,1
0x51db75f734f02f392452d94e06b7b703bf6ce197,1
0xdd53c2fac49719663a75f58110a642e7cfee8514,1
0x7d5b6c5a0db997e704b72e5acb33a45b50138a39,1
0x16f192316bf15979c0fbbc3b37989ea2f3445180,1
0x500c579764fA743c49392293086D53632817bC25,1
0xad727e3f0a939e0461500e69654218d559283011,1
0xbF3c92D8d62F3dA334B86a3E26f1a7127ab7d982,1
0x4034E70f8D84e3ac931f4c6771DA1DCEA1DDCf53,1
0x863141ce1c010ab00f1e0bc6bb3b61335dbdf893,1
0x57115F7D04C16f3983802b7C5a2d5089A188d76A,1
0x7304689aAc83c3B236332B0C233878F1819cA89d,1
0x23ac6b618c6a3b1d10db6d5010bf2892212a8da8,1
0xeb43b5597E3bDe0b0C03eE6731bA7c0247E1581E,1
0xdb75AE62eEC74E21d193aD27713C703a9BC84eAd,1
0x92c70f31efa47bd08b65f36079fba5668f3050c4,1
0xff13f9b23a16a82c3ccdd29ece6af667eeb15834,1
0x9ddD99312F34aA8dC34dD5F144Cc9d87CA9f8Ea7,1
0xd089cc904f32ba3f62c38c8c0e46c8fb1e734b10,1
0x796Abcb3075FDd05FaD11E9C70203285060C61ef,1
0xcbdfe45251a1943b8c615f3a1f095ca9cc17a616,1
0x4756e5a5D0668195Feb1EC0e7F96832ffc51c4A8,1
0x83507812f07800E572b859788476a95bE9E8C900,1
0xc89d83aad61ccaeadc53a4c5b86c7417238a2293,1
0xd9550ece0D90A8e08b323283E656EB11be69560D,1
0xDd956ab0f6020c2Be35be89C54Ba8841E290f778,1
0x3508f633e9c7f01b43d2ca4c130d6c39f8176276,1
0x69e657561b47cf6599eefef06324dbb8d2b03772,1
0xB40156F51103EbaA842590cE51DD2cD0a9E83cDa,1
0x4e00bc821cbc58db6c0c64d015239dd9ba953baf,1
0xbaa02edb7cb6dc2865bc2440de9caf6a9e31f23e,1
0xa4A1f13F6D71FE8261f7d539bf7b9A0fCa2a0caE,1
0xe3c0f093677391dd03b6071c5805c8a195bebba5,1
0xfB28A0B0BA53Ccc3F9945af7d7645F6503199e73,1
0x7d84c78b826f571381b95204e69469836ee759f2,1
0x5Bc992Dad5430632ca8527f5F55cd666Ae60955c,1
0xc6400A5584db71e41B0E5dFbdC769b54B91256CD,1
0x8889EBB11295F456541901f50BCB5f382047cAaC,1
