address,value
0x0773fD9894ebC0AAc1196c340d8a41A7aB14A7Ae,10
0x005b40bc7e2a68dde6e97604dd99e795a033f614,5
0xb735af7ae1a77d1ec764c862c2c09bdbf2b34b27,1
0xbdc4a5c0ff7275736cad102c7408555fb5d6c495,1
0x128ad42b82c752c5b4c7f679231d8956c98038eb,1
0xfd22004806a6846ea67ad883356be810f0428793,1
0x28ac01ebf289292783cfaad9bbf2c7fe2666dfbd,1
0x9050c8c69e6f1fe5cef50b28b3ebcbbe0d7e45f8,1
0xda2e83ca7138281a923c88172968dbe4551dc7b3,1
0x2d0bf022e326eecaf231eead1a360f6472b715d6,1
0xc4e8d1717c3921454792241ab7ba481f1c5304f2,1
0x703a32ca5a82512e8c95060456b5995d0c5141a2,1
0xf128de46d785c308ad52b7f984af809b4a37b973,1
0x3b2d0708f3975f237340fb7e8acc3c435e8fde07,1
0x3dcff2782f07b19baed2f992e901d2d8990400d3,1
0xcc48857242141cc7f4f8555f8a3d5bed03556c19,1
0x301cc218009608e59f9647f4b7dd8a49be8493af,1
0x97064190190d4e2fb284a2d55dd53504e291c4cd,1
0x9a733d6ed51a765caaf0f6ce71cc379f1f92d7b9,1
0xe58cfe247f53f232486d389b18efe66f4fcd7908,1
0x5090752b49b42eff5a3744c2914222fb02b5a925,1
0x138ef119319c5c0a82c4da25d7ccb17ff26e5562,1
0x23fed2634fdc629c1a82eb6ed3391efad2a58670,1
0x41f5b3d6d67d66deba1993bbd13d12484676dbc0,1
0x44f829ccbdc9c15ca84d4fd3f00c4682c35f228e,1
0x57550d69f81ec67f91b50abb168bc1aa9ac6740b,1
0x773d715200ab5c07f39db9772e3c83c48534a585,1
0x8c7e870720d981a60b3dbf9d8a3c545296b25d04,1
0x90bcfae96560d22b8c97587a1f89e23d334ab609,1
0xab9a363e67f8aa7e55bb27957f2c40f14fa713b6,1
0xbaea3cf94abd0d6e0f029ef5b0e54e9424a72985,1
0xcda72070e455bb31c7690a170224ce43623d0b6f,1
0xd20ce27f650598c2d790714b4f6a7222b8ddce22,1
0xd394cf7e0c9f7c89f81a2870c576c1910974047b,1
0xda37896e56f12d640230a9e5115756a5cda9a581,1
0xe35e2e4624987575dfd263b124a3999e180b8b89,1
0xe659c74753c241943687d8931358a851f11312ff,1
0x002e843f85521c4e48e667185663902a7a3a9c10,1
0xbdc4a5c0ff7275736cad102c7408555fb5d6c495,1
0x3351eca19fce8708957283922a2fe9aed4857644,1
0xd0393bd8b342fa6bc658717c349568cb70f675a7,1
0xc643c9411a6b489e9833b16631140f42bbfcb6d1,1
0xe74ca58ef724b94fac7f2e09e2e48536a5c1ad03,1
0xff9a58b474da29ad09cccb001c73aa3e1e208c4e,1
0x58b1e33d637d5b3adfaeb0ffe9c452364bde4bf0,1
0x1986f4bcc6b78d40e499e928a910dd7bde857734,1
0xb301d59681b5aa2afdcf665d6c426143a5389df7,1
0xd1380a4e089950ee3a23d818e24ccbbef003a432,1
0x275c83d76b1b0cc42bd066e327c4e578a327ebcc,1
0x31bedb3962ab3a1d2a2e070853aa5c4acdb734f4,1
0x1471966abfe75cf87fdad8b76d657eab8400f0b0,1
0x1dd72044fd55126aa8d9830f11aabea1293eab8d,1
0xe2ebf46ee25eaf54331bef39b2bf88b6d305b889,1
0x5783ec7f2c7bc5da112deec04fcea176377c9c57,1
0xb735af7ae1a77d1ec764c862c2c09bdbf2b34b27,1
