address,value
0xcEce625176cead11c8d2dd6149fDA2496b0c192D,10
0x005B40Bc7E2a68Dde6e97604Dd99e795A033F614,5
0x2295FCB7e16F6F2f2793f1B2846caA4c94a52c90,2
0x128ad42b82C752C5b4C7f679231d8956c98038Eb,1
0xB735AF7ae1a77D1EC764C862C2C09bdBf2B34B27,1
0x3DF7131fBd4f6b27Be8317C69E41817498E1BC0C,1
0xfD22004806A6846EA67ad883356be810F0428793,1
0x14977b0dBE7e155F9907effECbB70c9b7a05e737,1
0x4e1829da30CD7ae2F3E9915cB8C9f3F203ac7D83,1
0xAEC3F7e735505C2b787b05d67f4AdAEFe3DFD678,1
0x3bee84b103AaC868c2620eBF1e6908D9036F3bB2,1
0xb976163A6f251c208bCF3196b9c4Ddf927B63e72,1
0x43306b213e21512b5a5174Ef243c2200DA5D1396,1
0xA5214719FeB1D07B66292a5d4d0a2712Bd048435,1
0xd0097ae6013253e8B63Ae561ed8bbc475f570414,1
0x1A6E6FBc1f140a2055eF9725A119c74a824Fadb6,1
0xe0BCBC896F7C315426B7fFf739D309F45Cf6Dc49,1
0x7bb3fad216678a47caeed210123fc9e9e263030e,1
0x8be5a2df6488b0937299d27f092716f4a9ab2fd8,1
0x2a42cf4e1cfc33850fd8d8da24f86cd89b82ad95,1
0x569ff93aec513dac5b818714268c4b1e49abcc40,1
0xbf270918afe2ad16093ddce904fc358ad337cefa,1
0xbe8ba8911b2fc578ffa872c3a06ef2194add3420,1
0x99f230a1a61044cf092d0c9cdea53b36f6a18904,1
0x9446ca49d384f18657bd41060bf6cae024f16fc3,1
0x9fca5cb296333aa780d3367951f766ab3d7d4098,1
0x50d086175cc14fa5ae008591d72a93cf22b48e32,1
0xaef0f7d5e749bc7dd4303ff5990d1190a3e33969,1
0x128ad42b82c752c5b4c7f679231d8956c98038eb,1
0xc97cfd2c3a3e61316e931b784bde21e61ce15b82,1
0x95722d15041f50fe9135962cc87042b4d6dab382,1
0x2295fcb7e16f6f2f2793f1b2846caa4c94a52c90,1
