address,value
0xb24145BC5C77391484b57E05E47727c6Aa58a2B6,10
0x005B40Bc7E2a68Dde6e97604Dd99e795A033F614,5
0x128ad42b82C752C5b4C7f679231d8956c98038Eb,1
0xB735AF7ae1a77D1EC764C862C2C09bdBf2B34B27,1
0x3DF7131fBd4f6b27Be8317C69E41817498E1BC0C,1
0xfD22004806A6846EA67ad883356be810F0428793,1
0x930922b1114ed66734bd773184667b227520f43f,1
0xc07a67f50eb5bf18fd0c140c702a3032faa3681c,1
0x9cd1e4418f089328583694648e6b3a4f5b718954,1
0x4e51b3580dc76ba3bd529ce66970c28ca0debbf3,1
0x017ffb7c9e5aff47d9569265d7c78b2494099782,1
0x78f32021c4f88fc942d0a8df007cbe6feb32ab19,1
0x374b358c5ee4aad856bc123bf9d1ab564e6caa8e,1
0x4a15e3d354043fdefbb8fa77a55da211f4058190,1
0x9c335e4d8cacda86647ff4497789019c7a762a62,1
0x8120cd4fd4d867dae6dc1c2e9c504224ed045f34,1
0x59ea25fdeef4233ffb4e2a5317a3bd7e2efa622c,1
0x9fca5cb296333aa780d3367951f766ab3d7d4098,1
0x86ff945e6dc2470317ca082a01de7d24188671ac,1
0x847c1b4f34e93d2ae81b9d099c3e52f53d9abea2,1
0x2a42cf4e1cfc33850fd8d8da24f86cd89b82ad95,1
0x9ad5a46017ea55bf885cd34969c58d05d6925a5c,1
0xc7d2d152dda8cf7a7860288c3db9a1a4ce29162b,1
0x6bfa6b948af76082f3f2b59a225e2be147c5c2e7,1
0x19e3775d47d63e1802577aec70189e7e3d6ac17b,1
0x5d25087405105bab12624c73488ec186066a6376,1
0x255e1397b7e81ffdb0e6cf659f57f399a1410a48,1
0x17e31bf839acb700e0f584797574a2c1fde46d0b,1
0x13eee41d67b8d99e11174161d72cf8ccd194458c,1
0x04490fb053a8ff110bea35f22d955c0092aae5f8,1
0x63cd73eb6eada6b768a90bd6a4fbb69c9cd2f4e2,1
0x8be5a2df6488b0937299d27f092716f4a9ab2fd8,1
0xc6f80a50175293883fc46e6bc447d3a2a452ebd3,1
